,,,"1,00%",,"3,28%","4,08%",,"-3,63%",0,,,,,,,,,,,,,
,Date,Open,Open +1%,Cond. Precio,High,% Mov.,Low,% Mov.,Diferencia entre low y stop lost,Close,% Cierre,Gap,Operable,Volume,Cond. Vol,Com. Prom,Com. High,Com. Low,Rdo del dia c/ SL Prom,Rdo del dia c/ TP Prom,Resultados,Resultado
,08/12/2021,"41,56","41,98",Si,"41,56","-0,99%","39,88","-4,99%",,"41,02","-2,28%","-1,63%",No,5918857,Si,"-70,50%",-138%,-2%,"0,00",0,"-3,63%",0
,08/11/2021,"42,5","42,93",Si,"42,75","-0,41%","41,21","-4,00%",,"42,25","-1,57%","0,40%",No,6232455,Si,"-68,94%",-116%,18%,"0,00",0,"-3,63%",0
,08/10/2021,"42,61","43,04",Si,"43,69","1,52%","41,88","-2,69%",,"42,33","-1,64%","0,57%",Si,5298218,Si,"-73,60%",-42%,45%,"1,00",0,"-1,64%",0
,08/09/2021,"41,39","41,80",Si,"42,79","2,36%","41,11","-1,66%",,"42,37","1,35%","0,41%",Si,6519951,Si,"-67,51%",-10%,66%,"1,00",0,"1,35%",1
,08/06/2021,"42,91","43,34",Si,"43,07","-0,62%","40,37","-6,85%",,"41,22","-4,89%","0,37%",No,8913326,Si,"-55,58%",-124%,-40%,"0,00",0,"-3,63%",0
,08/05/2021,43,"43,43",Si,"43,53","0,23%","42,12","-3,02%",,"42,75","-1,57%","-1,78%",No,6351242,Si,"-68,35%",-91%,38%,"1,00",0,"-1,57%",0
,08/04/2021,"44,17","44,61",Si,"45,13","1,16%","43,46","-2,58%",,"43,78","-1,86%","3,30%",No,10470860,Si,"-47,82%",-56%,47%,"1,00",0,"-1,86%",0
,08/03/2021,"42,22","42,64",Si,"43,08","1,03%","41,52","-2,63%",,"42,76","0,28%","-2,70%",Si,10996720,Si,"-45,20%",-61%,46%,"1,00",0,"0,28%",1
,08/02/2021,"42,5","42,93",Si,"44,12","2,78%","41,81","-2,60%",0,"43,39","1,08%","4,86%",No,20832570,Si,"3,82%",6%,47%,"1,00",0,"1,08%",1
,07/30/2021,"38,68","39,07",Si,"42,24","8,12%","38,22","-2,17%",0,"40,53","3,75%","1,52%",No,21732530,Si,"8,31%",210%,56%,"1,00",1,"4,08%",1
,07/29/2021,"38,92","39,31",Si,"39,26","-0,13%","37,47","-4,68%",,"38,1","-3,08%","4,23%",No,9915079,Si,"-50,59%",-105%,4%,"0,00",0,"-3,63%",0
,07/28/2021,"36,84","37,21",Si,"38,34","3,04%","35,95","-3,38%",,"37,34","0,35%","6,17%",No,19808270,Si,"-1,28%",16%,31%,"1,00",0,"0,35%",1
,07/27/2021,"39,34","39,73",Si,"39,83","0,24%","33,86","-14,78%",,"34,7","-12,67%","-3,46%",No,38824170,Si,"93,49%",-91%,-202%,"0,00",0,"-3,63%",0
,07/26/2021,"39,61","40,01",Si,"43,02","7,53%","39,41","-1,49%",,"40,75","1,86%","-3,39%",Si,12377110,Si,"-38,32%",188%,70%,"1,00",1,"4,08%",1
,07/23/2021,"41,99","42,41",Si,"42,08","-0,78%","39,72","-6,34%",,41,"-3,32%","-2,96%",No,11475330,Si,"-42,81%",-130%,-30%,"0,00",0,"-3,63%",0
,07/22/2021,"43,55","43,99",Si,"43,95","-0,08%","42,66","-3,01%",,"43,27","-1,63%","-0,73%",No,6905388,Si,"-65,59%",-103%,38%,"1,00",0,"-1,63%",0
,07/21/2021,"41,62","42,04",Si,"44,42","5,67%","41,37","-1,58%",0,"43,87","4,36%","2,11%",No,18107760,Si,"-9,76%",117%,68%,"1,00",1,"4,08%",1
,07/20/2021,"39,94","40,34",Si,"40,99","1,61%","39,1","-3,07%",0,"40,76","1,04%","0,55%",Si,8123508,Si,"-59,51%",-38%,37%,"1,00",0,"1,04%",1
,07/19/2021,"38,18","38,56",Si,"39,9","3,47%","37,21","-3,51%",0,"39,72","3,00%","-2,18%",Si,10598740,Si,"-47,18%",33%,28%,"1,00",0,"3,00%",1
