,,,"1,00%",,"2,74%","4,84%",,"-2,81%",0,,,,,,,,,,,,,
,Date,Open,Open +1%,Cond. Precio,High,% Mov.,Low,% Mov.,Diferencia entre low y stop lost,Close,% Cierre,Gap,Operable,Volume,Cond. Vol,Com. Prom,Com. High,Com. Low,Rdo del dia c/ SL Prom,Rdo del dia c/ TP Prom,Resultados,Resultado
,08/12/2021,"84,04","84,88",Si,"84,71","-0,20%","81,21","-4,32%",,"82,65","-2,63%","-0,77%",No,3995602,No,"-63,15%",-109%,-8%,"0,00",0,"-2,81%",0
,08/11/2021,"85,78","86,64",Si,"87,52","1,02%","82,89","-4,33%",,"84,69","-2,25%","0,82%",Si,6531469,Si,"-39,76%",-53%,-8%,"0,00",0,"-2,81%",0
,08/10/2021,"85,44","86,29",Si,"85,67","-0,72%","83,1","-3,70%",,"85,08","-1,41%","-0,08%",No,8272858,Si,"-23,70%",-133%,7%,"0,00",0,"-2,81%",0
,08/09/2021,"79,09","79,88",Si,"86,74","8,59%","78,47","-1,77%",,"85,51","7,05%","1,50%",No,16103450,Si,"48,53%",295%,56%,"1,00",1,"4,84%",1
,08/06/2021,"79,92","80,72",Si,"82,48","2,18%","77,65","-3,80%",,"77,92","-3,47%","-0,81%",Si,4681577,No,"-56,82%",0%,5%,"0,00",0,"-2,81%",0
,08/05/2021,"79,74","80,54",Si,"81,04","0,62%","78,7","-2,28%",,"80,57","0,04%","-2,34%",No,4354514,No,"-59,84%",-71%,43%,"1,00",0,"0,04%",1
,08/04/2021,"77,04","77,81",Si,"81,93","5,29%","76,55","-1,62%",,"81,65","4,93%","-0,58%",Si,9308878,Si,"-14,14%",144%,59%,"1,00",1,"4,84%",1
,08/03/2021,"77,11","77,88",Si,"77,5","-0,49%","73,46","-5,68%",,"77,49","-0,50%","-1,53%",No,9686315,Si,"-10,66%",-123%,-42%,"0,00",0,"-2,81%",0
,08/02/2021,77,"77,77",Si,79,"1,58%","76,11","-2,13%",0,"78,31","0,69%","0,03%",Si,3971314,No,"-63,37%",-27%,46%,"1,00",0,"0,69%",1
,07/30/2021,"76,32","77,08",Si,"77,55","0,61%","75,83","-1,63%",0,"76,98","-0,13%","-0,69%",No,3262409,No,"-69,91%",-72%,59%,"1,00",0,"-0,13%",0
,07/29/2021,"79,15","79,94",Si,"79,19","-0,94%","76,73","-4,02%",,"76,85","-3,87%","0,03%",No,3941159,No,"-63,65%",-143%,-1%,"0,00",0,"-2,81%",0
,07/28/2021,77,"77,77",Si,"79,2","1,84%","76,15","-2,08%",,"79,13","1,75%","1,06%",No,4977567,No,"-54,09%",-15%,48%,"1,00",0,"1,75%",1
,07/27/2021,"77,63","78,41",Si,"78,28","-0,16%","71,96","-8,22%",,"76,19","-2,83%","0,00%",No,12323750,Si,"13,67%",-107%,-106%,"0,00",0,"-2,81%",0
,07/26/2021,"80,1","80,90",Si,"81,25","0,43%",77,"-4,82%",,"77,63","-4,04%","-2,11%",No,6524137,Si,"-39,82%",-80%,-21%,"0,00",0,"-2,81%",0
,07/23/2021,"82,32","83,14",Si,"83,25","0,13%","80,35","-3,36%",,"81,83","-1,58%","0,35%",No,3151347,No,"-70,93%",-94%,16%,"0,00",0,"-2,81%",0
,07/22/2021,"80,67","81,48",Si,"82,18","0,86%","80,11","-1,68%",,"82,03","0,68%","0,95%",No,4362506,No,"-59,76%",-60%,58%,"1,00",0,"0,68%",1
,07/21/2021,"79,66","80,46",Si,"80,57","0,14%","78,48","-2,46%",0,"79,91","-0,68%","-0,25%",No,4077333,No,"-62,39%",-94%,38%,"1,00",0,"-0,68%",0
,07/20/2021,"80,78","81,59",Si,"80,98","-0,74%","77,45","-5,07%","-1,26%","79,86","-2,12%","1,94%",No,4816113,No,"-55,58%",-134%,-27%,"0,00",0,"-2,81%",0
,07/19/2021,"75,85","76,61",Si,"79,98","4,40%","74,78","-2,39%",0,"79,24","3,43%","-2,20%",Si,5407203,Si,"-50,13%",103%,40%,"1,00",0,"3,43%",1
,07/16/2021,"78,46","79,24",Si,"79,11","-0,17%","76,99","-2,85%",,"77,56","-2,13%","1,53%",No,4641499,No,"-57,19%",-108%,29%,"0,00",0,"-2,81%",0
,07/15/2021,"79,06","79,85",Si,"80,29","0,55%","75,59","-5,34%",,"77,28","-3,22%","-0,14%",No,10502400,Si,"-3,13%",-75%,-34%,"0,00",0,"-2,81%",0
,07/14/2021,"84,04","84,88",Si,"84,24","-0,75%","79,07","-6,85%",,"79,17","-6,73%","0,02%",No,10466650,Si,"-3,46%",-135%,-72%,"0,00",0,"-2,81%",0
,07/13/2021,"86,34","87,20",Si,"86,45","-0,86%","83,15","-4,65%",,"84,02","-3,65%","-0,23%",No,9196177,Si,"-15,18%",-140%,-17%,"0,00",0,"-2,81%",0
,07/12/2021,"87,1","87,97",Si,"89,87","2,16%","84,85","-3,55%",,"86,54","-1,63%","0,97%",Si,6761955,Si,"-37,63%",-1%,11%,"0,00",0,"-2,81%",0
,07/09/2021,"87,29","88,16",Si,"87,3","-0,98%","85,12","-3,45%",,"86,26","-2,16%","0,47%",No,3936738,No,"-63,69%",-145%,13%,"0,00",0,"-2,81%",0
,07/08/2021,"83,28","84,11",Si,"88,05","4,68%","82,52","-1,89%",0,"86,88","3,29%","-3,61%",Si,6729494,Si,"-37,93%",116%,53%,"1,00",0,"3,29%",1
,07/07/2021,"87,85","88,73",Si,"89,35","0,70%","85,65","-3,47%",,"86,4","-2,62%","1,00%",No,6152961,Si,"-43,25%",-68%,13%,"0,00",0,"-2,81%",0
,07/06/2021,"87,32","88,19",Si,"88,75","0,63%","85,32","-3,26%",,"86,98","-1,38%","1,30%",No,6301423,Si,"-41,88%",-71%,18%,"0,00",0,"-2,81%",0
,07/02/2021,"87,16","88,03",Si,"87,24","-0,90%","84,89","-3,57%",,"86,2","-2,08%","1,56%",No,5812368,Si,"-46,39%",-141%,11%,"0,00",0,"-2,81%",0
,07/01/2021,"89,89","90,79",Si,"89,99","-0,88%","84,21","-7,25%",,"85,82","-5,47%","-0,10%",No,10307780,Si,"-4,93%",-141%,-82%,"0,00",0,"-2,81%",0
,06/30/2021,"92,56","93,49",Si,"92,9","-0,63%","89,91","-3,82%",,"89,98","-3,75%","-0,04%",No,4366868,No,"-59,72%",-129%,4%,"0,00",0,"-2,81%",0
,06/29/2021,"91,55","92,47",Si,"93,31","0,91%","89,8","-2,88%",,"92,6","0,15%","-1,60%",No,7806501,Si,"-28,00%",-58%,28%,"0,00",0,"-2,81%",0
,06/28/2021,"86,99","87,86",Si,"94,39","7,43%","86,99","-0,99%",,"93,04","5,90%","-0,01%",Si,14046530,Si,"29,56%",242%,75%,"1,00",1,"4,84%",1
,06/25/2021,88,"88,88",Si,"88,94","0,07%","85,07","-4,29%",,87,"-2,12%","0,76%",No,7594495,Si,"-29,95%",-97%,-7%,"0,00",0,"-2,81%",0
,06/24/2021,"83,5","84,34",Si,"87,7","3,99%","83,36","-1,16%",,"87,34","3,56%","-1,60%",Si,8836199,Si,"-18,50%",84%,71%,"1,00",0,"3,56%",1
,06/23/2021,"83,2","84,03",Si,"85,45","1,69%",82,"-2,42%",,"84,86","0,99%","0,92%",Si,8015463,Si,"-26,07%",-22%,39%,"1,00",0,"0,99%",1
,06/22/2021,"83,07","83,90",Si,"83,86","-0,05%","80,5","-4,05%",,"82,44","-1,74%","0,68%",No,10138600,Si,"-6,49%",-102%,-2%,"0,00",0,"-2,81%",0
,06/21/2021,"80,57","81,38",Si,"83,36","2,44%","78,56","-3,46%",,"82,51","1,39%","-0,70%",Si,11289440,Si,"4,13%",12%,13%,"0,00",0,"-2,81%",0
,06/18/2021,"82,97","83,80",Si,"83,4","-0,48%","80,08","-4,44%",,"81,14","-3,17%","-0,01%",No,11130600,Si,"2,66%",-122%,-11%,"0,00",0,"-2,81%",0
,06/17/2021,"84,76","85,61",Si,"86,34","0,86%",82,"-4,21%",,"82,98","-3,07%","2,63%",No,12307680,Si,"13,52%",-61%,-6%,"0,00",0,"-2,81%",0
,06/16/2021,"82,88","83,71",Si,"86,42","3,24%","79,88","-4,57%",,"82,59","-1,34%","-7,71%",Si,43922820,Si,"305,12%",49%,-15%,"0,00",0,"-2,81%",0
,06/15/2021,"87,71","88,59",Si,"90,76","2,45%","86,84","-1,97%",,"89,8","1,37%","-0,10%",Si,10831780,Si,"-0,09%",13%,51%,"1,00",0,"1,37%",1
,06/14/2021,"93,26","94,19",Si,"93,26","-0,99%","87,57","-7,03%","-3,22%","87,8","-6,79%","0,47%",No,11659470,Si,"7,54%",-146%,-76%,"0,00",0,"-2,81%",0
,06/11/2021,"91,97","92,89",Si,"94,77","2,02%","91,15","-1,87%",,"92,82","-0,08%","1,07%",No,8673778,Si,"-20,00%",-7%,53%,"1,00",0,"-0,08%",0
,06/10/2021,"91,2","92,11",Si,"91,82","-0,32%","86,83","-5,73%",,91,"-1,21%","0,18%",No,12269170,Si,"13,16%",-115%,-44%,"0,00",0,"-2,81%",0
,06/09/2021,"91,79","92,71",Si,"95,99","3,54%","90,65","-2,22%",,"91,04","-1,80%","0,42%",Si,12739260,Si,"17,50%",63%,44%,"1,00",0,"-1,80%",0
,06/08/2021,"93,61","94,55",Si,"94,23","-0,33%","88,89","-5,98%",,"91,41","-3,32%","0,18%",No,14403900,Si,"32,85%",-115%,-50%,"0,00",0,"-2,81%",0
,06/07/2021,"99,34","100,33",Si,"100,95","0,61%","93,28","-7,03%",,"93,44","-6,87%","-0,23%",No,15214600,Si,"40,33%",-72%,-76%,"0,00",0,"-2,81%",0
,06/04/2021,"100,68","101,69",Si,"103,87","2,15%","98,52","-3,11%",0,"99,57","-2,08%","4,33%",No,14672010,Si,"35,33%",-1%,22%,"0,00",0,"-2,81%",0
,06/03/2021,"98,83","99,82",Si,"102,05","2,24%","96,27","-3,55%",,"96,5","-3,32%","-1,03%",Si,10907530,Si,"0,61%",3%,11%,"0,00",0,"-2,81%",0
,06/02/2021,"96,88","97,85",Si,"103,29","5,56%","95,39","-2,51%",,"99,86","2,06%","-0,01%",Si,16728850,Si,"54,30%",156%,37%,"1,00",1,"4,84%",1
,06/01/2021,"94,77","95,72",Si,"97,93","2,31%","93,22","-2,61%",0,"96,89","1,22%","1,07%",No,13632280,Si,"25,74%",6%,35%,"1,00",0,"1,22%",1
